EmisCode;PROVINCE;Institution name;District;Alternative Institution name;Legal Status;Practical Status of the institution;Closure data;Sector;Institution Type;Institution Phase;LandOwnership;Ex-education Department;Circuit;Registration date;Street name and sumber;City/Town;Postal Code;SA POST OFFICE VILLAGE;P O BOX;Private bag;Post office;Postal Code;TelCode1;Telephone1;TelCode2;Telephone2;EMail;EmailAlt;LONGITUDE;LATITUDE;GIS SOURCE;GIS last updated date;District municipality;Local municipality;Urban or rural;PersalPayPoint;PersalComponent;ExamCentreNumber;ExamCentre;Manager title;Managers initials;Manager surname;Institution closure date;Institution closure reason;Demarcation form;Demarcation to;Previous EMIS number;Updated EMIS number;Functions;Quintile;No-fee school status;SNE specialisation;Specialisation
300016301;NC;GRIQUATOWN INTERMEDIATE SCHOOL;PIXLEY-KA-SEME;;Formally Opened;Operational;;Public;Ordinary School;Intermediate;Govt;;P5;;Matlhomola;Griekwastad;8365;PO BOX 52;PO BOX;Matlhomola;Griekwastad;3865;074;9125226;083;5396421;gtowncombinedschool@gmail.com;;-28.865387;23.266612;;;;;;3074620;300016;;;;;;;;;;;;;;;;
300021205;NC;KEURTJIEKLOOF LAERSKOOL;PIXLEY-KA-SEME;;Formally Opened;Operational;;Public;Ordinary School;Primary;Govt;;P1;;KEURTJIEKLOOF;VANDERKLOOF;8771;LELIE STRAAT 375 .375;LELIE STRAAT 375;KEURTJIEKLOOF;VANDERKLOOF;8771;053;6640150;072;7620511;chantell.springbok@gmail.com;keurtjiekloof@gmail.com;-30.01124;24.72897;;;;;;400629;503347;300021205;KEURTJIEKLOOF LAERSKOOL;;;;;;;;;;;;;;
300011301;NC;BONGANI PRIMARY SCHOOL;PIXLEY-KA-SEME;;Formally Opened;Operational;;Public;Ordinary School;Primary;Govt;;P5;;Bongani;DOUGLAS;8730;MQOMO STREET 12;MQOMO STREET;BONGANI;DOUGLAS;8730;053;2981578;053;2981578;bonganips@ncdoe.school.za;bonganiprim@gmail.com;-29.06931;23.77539;;;;;;74614;970249;;;;;;;;;;;;;;;;
300015208;NC;VAALLUS (NGK) PRIMÊRE SKOOL;PIXLEY-KA-SEME;;Formally Opened;Operational;;Public;Ordinary School;Primary;Church;;P5;;VAALLUS;DOUGLAS;8730;PO BOX 341;PO BOX;VAALLUS;DOUGLAS;8730;083;9911177;083;9911177;vaallus700@gmail.com;johnstenekamp799@gmail.com;-28.955929;23,942424;;;;;;225600;5886;300015208;Vaallus Primêre Skool;;;;;;;;;;;;;;
300054201;NC;GOOD HOPE MIXED PRIMARY SCHOOL;JOHN TAOLO GAETSEWE;;Formally Opened;Operational;;Independent;Ordinary School;Primary;Private;;KURUMAN;;KURUMAN;KURUMAN;8460;PRIVATE BAG X1532;PRIVATE BAG X;POSTNET 614;KURUMAN;8460;053;7120072;078;4159955;admin@goodhopepreschool.co.za;admin@goodhopemixedprimary.co.za;-27.447056;23.435793;;;;;;;;200054201;GOODHOPE MIXED PRIMARY;;;;;;;;;;;;;;
300016220;NC;SCHMIDTSDRIFT BATLHAPING INTERMEDIATE SCHOOL;PIXLEY-KA-SEME;;Formally Opened;Operational;;Public;Ordinary School;Intermediate;Trust Land;;P5;;Schmidtsdrift;Schmidtsdrift;8300;PO BOX 1338;PO BOX;Schmidtsdrift;Kimberley;8300;053;8337266;072;8399459;schmidtsdriftbatlhapingis@ncdoe.school.za;schmidtsdriftinterschool@gmail.com;-28.70252;24.06053;;;;;;448110;971062;;Schmidtsdrift Batlhaping Intermediate;;;;;;;;;;;;;;
300017225;NC;FUTURUM AKADEMIE;FRANCES BAARD;;Formally Opened;Operational;;Independent;Ordinary School;Combined;Private Company;;F4;;Tadcaster Voorstad;Jan Kempdorp;8550;Posbus 656;Posbus;Jan Kempdorp;Noord-Kaap;8550;078;4531245;;;info@futurumakademie.co.za;info@futurumakademie.co.za;24,813036;-27,852507;;;;;;0;0;0;Futurum;;;;;;;;;;;;;;0
300011305;NC;HOËRSKOOL  DOUGLAS  GEKOMBINEERD;PIXLEY-KA-SEME;;Formally Opened;Operational;;Public;Ordinary School;Combined;Govt;;P5;;;DOUGLAS;8730;PO BOX 97;PO BOX;;DOUGLAS;8730;053;2981041;082;8803536;hsd@douglas.co.za;hsdadjunkhoofsasams@gmail.com;-29.05594;23.76985;;;;;;212210;3;2011305;Hoërskool Douglas;;;;;;;;;;;;;;
300021203;NC;HAYES PRIMÊRE SKOOL;PIXLEY-KA-SEME;;Formally Opened;Operational;;Public;Ordinary School;Primary;Church;;P1;;Houtkraal;De aar;7000;PO BOX 230;PO BOX;Posbus 230;Houtkraal ;7000;053;6310264;072;2080226;hayesprimer@gmail.com;jolandedeaar@gmail.com;-30.39112;24.10493;;;;;;300021203;999999;;;;;;;;;;;;;;;;
300021101;NC;DE AAR JUNIOR PRIMÊRE SKOOL;PIXLEY-KA-SEME;;Formally Opened;Operational;;Public;Ordinary School;Primary;Govt;;P1;;DE AAR;DE AAR;7000;PO BOX 114;PO BOX;DE AAR;DE AAR;7000;053;6310101;084;4910348;jpshoof@gmail.com;jpshoof@gmail.com;-30.64521;24.00407;;;;;;410310;970730;;;;;;;;;;;;;;;;
300021202;NC;EMTHANJENI PRIMARY SCHOOL;PIXLEY-KA-SEME;;Formally Opened;Operational;;Public;Ordinary School;Primary;Govt;;P1;;Nonzwakazi;DE  AAR;7000;PO BOX 296;PO BOX;Nonzwakazi;DE  AAR;7000;053;6314011;082;9779644;emthanjenips@gmail.com;emthanjenips@gmail.com;-30.67024;24.02775;;;;;;410230;300021;;;;;;;;;;;;;;;;
300021201;NC;ALPHA PRIMARY SCHOOL;PIXLEY-KA-SEME;;Formally Opened;Operational;;Public;Ordinary School;Primary;Govt;;P1;;Happy Valley;De Aar;7000;c/o Alpha & Rand Street 1;c/o Alpha & Rand Street;Happy Valley;De Aar;7000;053;0506281;072;7418281;alphaps@ncdoe.school.za;alphaps@ncdoe.school.za;-30.649314;24.031437;;;;;;3400610;400610;;;;;;;;;;;;;;;;
300021212;NC;WILLIE THERON PRIMARY;PIXLEY-KA-SEME;;Formally Opened;Operational;;Public;Ordinary School;Primary;Govt;;P1;;De Aar;Olive Scheiner;7000;PO BOX 338;PO BOX;De Aar;De Aar;7000;054;6313032;060;3751281;willietheron284@gmail.com;zone.christie@yahoo.com;-30.64841;24.0188;;;;;;400696;0;;;;;;;;;;;;;;;;
300016302;NC;!XUNKHWESA COMBINED SCHOOL;FRANCES BAARD;;Formally Opened;Operational;;Public;Ordinary School;Combined;Govt;;F5;;Kimberley;Platfontein;8301;PO BOX 110820;PO BOX;Hadison Park;Kimberley;8306;053;8321266;076;9792720;xunkhwesacs@ncdoe.school.za;xunkhwesa25@gmail.com;-28.70804;24.65462;;;;;;74616;532744;16302;!XUNKHWESA;;;;;;;;;;;;;;
300021208;NC;PHILIPSTOWN HIGH SCHOOL;PIXLEY-KA-SEME;;Formally Opened;Operational;;Public;Ordinary School;Secondary;Govt;;P1;;Philipstown;Philipstown;8795;PO BOX 77;PO BOX;Philipstown;Philipstown;8795;053;6650104;083;5592697;philipstownhigh2@gmail.com;philipstownhigh2@gmail.com;-30.43755;24.46786;;;;;;410190;970753;300021208;Philipstown High School;;;;;;;;;;;;;;
300021213;NC;ZINGISANI PRIMARY SCHOOL;PIXLEY-KA-SEME;;Formally Opened;Operational;;Public;Ordinary School;Primary;Govt;;;;DE AAR;DE AAR;7000;PO BOX 289;PO BOX;De Aar;DE AAR;7000;053;6313081;076;7972126;zingisanips@gmail.com;zingisanips@gmail.com;-30.66952;24.02596;;;;;;410250;123456;;;;;;;;;;;;;;;;
300014212;NC;PESCODIA PRIMARY SCHOOL;FRANCES BAARD;;Formally Opened;Operational;;Public;Ordinary School;Primary;Govt;;F3;;Pescodia;Kimberley;8301;PO BOX 396;PO BOX;Pescodia;Kimberley;8301;053;8731611;083;6456212;pescodiaps@ncdoe.school.za;pescodiaprimary@gmail.com;-28.66835;24.72428;;;;;;225280;970369;2014212;PESCODIA PRIMARY SCHOOL;;;;;;;;;;;;;;
300021307;NC;VISISANI PRIMARY SCHOOL;PIXLEY-KA-SEME;;Formally Opened;Operational;;Public;Ordinary School;Primary;Govt;;P1;;PETRUSVILLE;PETRUSVILLE;8770;PO BOX 86;PO BOX;PETRUSVILLE;PETRUSVILLE;8770;053;6630169;060;6215243;visisanips@ncdoe.school.za;zingie1968@gmail.com;-30.07619;24.67382;;;;;;13361961;694269;300021307;VISISANI PRIMARY SCHOOL;;;;;;;;;;;;;;
300021403;NC;MONWABISI HIGH SCHOOL;PIXLEY-KA-SEME;;Formally Opened;Operational;;Public;Ordinary School;Secondary;Govt;;P1;;DE AAR;DE AAR;7000;PO BOX 306;PO BOX;DE AAR;DE AAR;7000;071;8967551;071;8967551;monwabisihigh@gmail.com;mongsbooi@gmail.com;-30.668228;24.027130;;;;;;410280;0;22021403;MONWABISI HIGH SCHOOL;;;;;;;;;;;;;;
300022206;NC;PRIMÊRE SKOOL PRIESKA;PIXLEY-KA-SEME;;Formally Opened;Operational;;Public;Ordinary School;Primary;Govt;;;;Prieska;Prieska;8940;PO BOX 46;PO BOX;Prieska;Prieska;8940;053;3531651;082;2644753;primereskoolprieska@gmail.com;primereskoolprieska@gmail.com;-29.66573;22.74759;;;;;;410650;410650;300022206;Prieska Primary School;;;;;;;;;;;;;;
300101753;NC;RAPELANG INTERMEDIATE SCHOOL;JOHN TAOLO GAETSEWE;;Formally Opened;Operational;;Public;Ordinary School;Intermediate;Govt;;K2;;VRYBURG  ;KURUMAN ;8460;PO BOX 2574;PO BOX;VRYBURG;KURUMAN;8600;076;8231910;076;8231910;rapelangintermediateschool@gmail.com;rapelangintermediateschool@gmail.com;-26.953212;23,873981;;;;;;961379;961379;300101753;RAPELANG PRIMARY;;;;;;;;;;;;;;
300021207;NC;LAERSKOOL DE AAR;PIXLEY-KA-SEME;;Formally Opened;Operational;;Public;Ordinary School;Primary;Govt;;P1;;DE AAR;DE AAR;7000;POSBUS 52;;DE AAR;DE AAR;7000;053;6312772;084;4004782;info@laerskooldeaar.co.za;finansies@laerskooldeaar.co.za;-30.65784;24.00188;;;;;;410320;909707;;;;;;;;;;;;;;;;
300021401;NC;De Aar High School;PIXLEY-KA-SEME;;Formally Opened;Operational;;Public;Ordinary School;Secondary;Govt;;P1;;DE AAR;DE AAR;7000;PO BOX 242;PO BOX;DE AAR;DE AAR;7000;053;6313691;082;3783612;admin@hsda.co.za;admin@hsda.co.za;-30.65491;24.00084;;;;;;410400;410400;2021401;Hoërskool De Aar;;;;;;;;;;;;;;
300022210;NC;SAAMSTAAN INTERMEDIERE  SKOOL;PIXLEY-KA-SEME;;Formally Opened;Operational;;Public;Ordinary School;Intermediate;Farm;;P2;;PRIESKA;PRIESKA;8940;PO BOX 511;PO BOX;;PRIESKA;8940;083;5501981;082;4419809;;saamstaanprimer@gmail.com;-29.650134;23,413646;;;;;;410700;505888;;;;;;;;;;;;;;;;
300022203;NC;JJ DREYER PRIMÊRE SKOOL;PIXLEY-KA-SEME;;Formally Opened;Operational;;Public;Ordinary School;Primary;Govt Education;;P2;;Prieska;PRIESKA;8940;PO BOX 207;PO BOX;Prieska;PRIESKA;8940;053;3531632;082;5628634;jjdreyer2022@gmail.com;jjdreyer@lantic.net;-29.664086;22.730194;;;;;;410620;503210;;;;;;;;;;;;;;;;
300022214;NC;ORANJE DIAMANT PRIMÊRE SKOOL;PIXLEY-KA-SEME;;Formally Opened;Operational;;Public;Ordinary School;Primary;Govt;;P2;;STEYNVILLE;HOPETOWN;8750;PO BOX 57;PO BOX;STEYNVILLE;HOPETOWN;8750;053;2030179;083;9788082;franklinhpedro@gmail.com;oranjediamant@gmail.com;-29.618152;24.100951;;;;;;400637;400637;300022214;Oranje Diamant Primary;;;;;;;;;;;;;;
300100345;NC;EDIGANG PRIMARY SCHOOL;JOHN TAOLO GAETSEWE;;Formally Opened;Operational;;Public;Ordinary School;Primary;Govt;;;;MOTHIBISTAD;MOTHIBISTAD;8474;PO BOX 507;PO BOX;MOTHIBISTAD;MOTHIBISTAD;8474;064;6763588;073;1614829;edigangprimary1@gmail.com;kmblaar@gmail.com;-27.202833;23.441217;;;;;;7961427;796;;100345;;;;;;;;;;;;;;
300023209;NC;NORVALSPONT INTERMEDIATE SCHOOL;PIXLEY-KA-SEME;;Formally Opened;Operational;;Public;Ordinary School;Intermediate;Govt;;P3;;NORVALSPONT;NORVASLPONT;9797;PO BOX 31;PO BOX;NORVALSPONT;NORVALSPONT;9797;051;7555008;060;6030811;norvprisch@gmail.com;zolekam37@gmail.com;-30.63171;25.45496;;;;;;410160;970796;300023209;NORVALSPONT INTERMEDIATE SCHOOL;;;;;;;;;;;;;;
300021303;NC;ORANIA CVO-SKOOL;PIXLEY-KA-SEME;;Formally Opened;Operational;;Independent;Ordinary School;Combined;Private Company;;F2;;Kleingeluk;Hopetown;8752;Posbus 136;Posbus;Orania;;8752;;;;;admin@oraniacvo.co.za;finansies@oraniacvo.co.za;-29.812805;24.414422;;;;;;0;0;?;?;;;;;;;;;;;;;;0
300021211;NC;ST JOHN'S R.C. PRIMARY ;PIXLEY-KA-SEME;;Formally Opened;Operational;;Public;Ordinary School;Primary;Govt;;P1;;Extention 7;De Aar;7000;PO BOX 607;PO BOX;Extention 7;De Aar;700;053;6313282;082;5541274;stjohns.primary3282@gmail.com;benniepietersen03@gmail.com;-30.656747;24,02221;;;;;;406953;504602;300021211;ST JOHN'S R.C. PRIMARY ;;;;;;;;;;;;;;
300021306;NC;PHILIPVALE PRIMARY SCHOOL;PIXLEY-KA-SEME;;Formally Opened;Operational;;Public;Ordinary School;Primary;Govt;;P1;;Philipvale;Philipstown;8795;PO BOX 32;PO BOX;Philipvale;Philipstown;8795;074;1297316;065;5757157;philipvaleprim@gmail.com;philipvaleprim@gmail.com;-30.43208;24.46847;;;;;;400653;0;;Philipvale Primary School;;;;;;;;;;;;;;
300021405;NC;VERITAS HIGH SCHOOL;PIXLEY-KA-SEME;;Formally Opened;Operational;;Public;Ordinary School;Secondary;Govt;;P1;;EXTENSION 20;DE AAR;7000;PO BOX 782;PO BOX;EXTENSION 20;DE AAR;7000;053;0506280;082;6844187;winstonsswartz@gmail.com;veritash8@gmail.com;-30.651111;24,032934;;;;;;443646;533785;2021405;VERITAS HIGH SCHOOL;;;;;;;;;;;;;;Technical
300022302;NC;GEKOMBINEERDE SKOOL PRIESKA;PIXLEY-KA-SEME;;Formally Opened;Operational;;Public;Ordinary School;Combined;Govt;;P2;;Prieska;Prieska;8940;PO BOX 266;PO BOX;Prieska;Prieska;8940;053;3533245;053;3533245;kantoor.hsp@gmail.com;yvanheerden23@gmail.com;-29.67019;22,75337;;;;;;0003/41046;514323;2022302.0;Gekombineerde Skool Prieska;;;;;;;;;;;;;;
300022304;NC;LUVUYO PRIMARY SCHOOL;PIXLEY-KA-SEME;;Formally Opened;Operational;;Public;Ordinary School;Primary;Govt;;P4;;Mziwabantu;Britstown;8782;PO BOX 110;PO BOX;;Britstown;8782;072;8006268;072;8006268;luvuyoprimaryschool@gmail.com;;-30.57928;23.49271;;;;;;54389721;84976;;;;;;;;;;;;;;;;
300044209;NC;LAERSKOOL KATHU PRIMARY;JOHN TAOLO GAETSEWE;;Formally Opened;Operational;;Public;Ordinary School;Primary;Govt;;K4;;KATHU;KATHU;8446;Posbus 300;Posbus;KATHU;KATHU;8446;053;7231121;053;7231121;lkathu@ncdoe.school.za;hoof@kathulaerskool.co.za;-27.70408;23.04577;;;;;;361360;361360;244209;LAERSKOOL KATHU;;;;;;;;;;;;;;0
300021305;NC;PHILIPSTOWN PRIMARY SCHOOL;PIXLEY-KA-SEME;;Formally Opened;Operational;;Public;Ordinary School;Primary;Govt;;P1;;Lukhanyisweni;Philipstown;8795;PO BOX 53;PO BOX;Lukhanyisweni;Philipstown;8795;083;9283577;072;5599179;;philipstownprimary@gmail.com;-30.420050;24,463003;;;;;;3;410370;300021305;PHILIPSTOWN PRIMARY SCHOOL;;;;;;;;;;;;;;
300022202;NC;BLOUKRANS PRIMÊRE SKOOL;PIXLEY-KA-SEME;;Formally Opened;Operational;;Public;Ordinary School;Primary;Farm;;P2;;PRIESKA;PRIESKA;8940;PO BOX 172;PO BOX;PRIESKA;PRIESKA;8940;061;0432100;061;0432100;bloukrans22@gmail.com;petermaree70@gmail.com;-29.53711;22.99706;;;;;;410690;410690;300022202;Bloukrans;;;;;;;;;;;;;;
300021402;NC;PETRUSVILLE HIGH SCHOOL;PIXLEY-KA-SEME;;Formally Opened;Operational;;Public;Ordinary School;Secondary;Govt;;P1;;Petrusville;Petrusville;8770;PO BOX 71;PO BOX;Petrusville;Petrusville;8770;053;6630237;078;0828136;haasfionah@gmail.com;highschoolpetrusville@gmail.com;-30.08077;24.65703;;;;;;400646;400646;300021402;Petrusville High School;;;;;;;;;;;;;;
300022215;NC;STEYNVILLE PRIMARY SCHOOL;PIXLEY-KA-SEME;;Formally Opened;Operational;;Public;Ordinary School;Primary;Govt Education;;P2;;Steynville;Hopetown;8750;PO BOX 265;PO BOX;Steynville;Hopetown;8750;053;2030896;081;4900052;steynvilleprimary22@gmail.com;pwmachiu@gmail.com;-29.617088;24,102487;;;;;;972021;972021;12345;Steynville Primary School;;;;;;;;;;;;;;School of Skills
300022208;NC;RD WILLIAMS PRIMARY SCHOOL;PIXLEY-KA-SEME;;Formally Opened;Operational;;Public;Ordinary School;Primary;Govt;;P2;;PRIESKA;PRIESKA;8940;PO BOX 296;PO BOX;PRIESKA;PRIESKA;8940;053;3531911;053;3531911;ldapaulse@gmail.com;rdwilliams@telkomsa.net;-29.66422;22.72768;;;;;;410630;970766;;;;;;;;;;;;;;;;
300012219;NC;TSHIAMO PRIMARY SCHOOL;FRANCES BAARD;;Formally Opened;Operational;;Public;Ordinary School;Primary;Govt;;F7;;Mankurwane;Kimberley;8345;PRIVATE BAG X9026;PRIVATE BAG X;Mankurwane;Kimberley;8345;053;8714289;078;2490271;tshiamops@ncdoe.school.za;mickeysegole202@gmail.com;-28.709182;24,721051;;;;;;74417;970319;2012219;TSHIAMO PRIMARY SCHOOL;;;;;;;;;;;;;;
300034312;NC;AGGENEYS INTERNATIONAL ACADEMY;NAMAKWA;;Formally Opened;Operational;;Independent;Ordinary School;Combined;Mine;;N3;;;AGGENEYS;8893;PO BOX 322;PO BOX;AGGENEYS;AGGENEYS;8893;054;4950426;064;7822509;;administrator@aggeneysinternationalacademy.co.za;-29.234981;18.846235;;;;;;;;ZA128;Aggeneys International Academy ;;;;;;;;;;;;;;
300051302;NC;KATHU COMBINED SCHOOL;JOHN TAOLO GAETSEWE;;Formally Opened;Operational;;Independent;Ordinary School;Combined;Private Company;;;;Phase 1;Kathu;8446;KATDORING STREET 9;KATDORING STREET;Phase 1;Kathu;8446;065;5122395;073;7659649;kantoor@ktskathu.co.za;kathuimpak@gmail.com;-27.706974;23.044356;;;;;;;;;;;;;;;;;;;;;;;
300043226;NC;SIMBRUNER PRIMARY SCHOOL;ZF MGCAWU;;Formally Opened;Operational;;Public;Ordinary School;Primary;Govt;;S1;;Morning Glory;UPINGTON;8801;PO BOX 673;PO BOX;Morning Glory;UPINGTON;8800;054;3390825;082;4333180;simbrunerprimary@gmail.com;filladelafontaine@gmail.com;-28.46227;21.20754;;;;;;370169;970528;;;;;;;;;;;;;;;;
300100404;NC;GAMOHANA INTERMEDIATE SCHOOL;JOHN TAOLO GAETSEWE;;Formally Opened;Operational;;Public;Ordinary School;Intermediate;Govt;;K3;;MARUPING VILLAGE;KURUMAN;8460;PRIVATE BAG X149;PRIVATE BAG X;MOTHIBISTAD;KURUMAN;8474;063;6388090;072;1558750;gamohanajss@gmail.com;;-27.347745;23.367916;;;;;;961293;961293;2100404;Gamohana Intermediate School;;;;;;;;;;;;;;
300045219;NC;BANKHARA BODULONG PRIMARY SCHOOL;JOHN TAOLO GAETSEWE;;Formally Opened;Operational;;Public;Ordinary School;Primary;Govt;;K3;;Kuruman;Bankhara-Bodulong;8460;PO BOX 2290;PO BOX;Kuruman;Kuruman;8460;083;2675071;076;5764066;bankharaprimary@gmail.com;magomegregory98@gmail.com;-27.4234;23.38694;;;;;;361070;361070;2045219;Bankhara-Bodulong Primary;;;;;;;;;;;;;;
300100410;NC;GANTATELANG PRIMARY SCHOOL;JOHN TAOLO GAETSEWE;;Formally Opened;Operational;;Public;Ordinary School;Primary;Govt Education;;;;GANTATELANG VILLAGE;KURUMAN;8474;PO BOX 108;PO BOX;MOTHIBISTAD;KURUMAN;8474;073;6863221;071;1428777;gantatelang@gmail.com;mathekga.m@gmail.com;-27.351008;23.461625;;;;;;300100410;300100;2100410;GANTATELANG PRIMARY SCHOOL;;;;;;;;;;;;;;
300034303;NC;FRANCOIS VISSER LAERSKOOL;NAMAKWA;;Formally Opened;Operational;;Public;Ordinary School;Primary;Govt;;N2;;Pofadder;Pofadder;8890;PO BOX 90;PO BOX;Pofadder;Pofadder;8890;054;9330159;073;2993971;francoisvisserprim@gmail.com;sauljohn9872@gmail.com;-29.12421;19.38745;;;;;;350050;350050;;;;;;;;;;;;;;;;
300021404;NC;ORION HIGH SCHOOL;PIXLEY-KA-SEME;;Formally Opened;Operational;;Public;Ordinary School;Secondary;Govt Education;;P1;;Happy Valley;DE AAR;7000;PRIVATE BAG X268;PRIVATE BAG X;De Aar;DE AAR;7000;074;1313197;082;8552765;hskoolorion@yahoo.com;hskoolorion@yohoo.com;-30.649882;24.029765;;;;;;403458;403458;300021404;Orion High School;;;;;;;;;;;;;;
300106000;NC;BANKHARA BODULONG HIGH SCHOOL;JOHN TAOLO GAETSEWE;;Formally Opened;Operational;;Public;Ordinary School;Secondary;Govt;;K3;;BANKHARA-BODULONG;KURUMAN;8460;PO BOX 2628;PO BOX;BANKHARA HIGH SCHOOL;KURUMAN;8460;078;5347993;073;3506343;bankharacurriculum@gmail.com;bankharahigh@gmail.com;-27.423037;23.380628;;;;;;974506;970645;2045219;Bankhara-Bodulong High School;;;;;;;;;;;;;;
300033304;NC;HOËRSKOOL  WILLISTON ;NAMAKWA;;Formally Opened;Operational;;Public;Ordinary School;Secondary;Govt;;N4;;Williston;Williston;8920;PO BOX 8;PO BOX;Williston;Williston;8920;076;1073971;082;4541043;gskoolw@gmail.com;gskoolw@gmail.com;-31.338256;20.914522;;;;;;97312602;970971;2033304;Hoërskool Williston;;;;;;;;;;;;;;
300045403;NC;WRENCHVILLE HIGH SCHOOL;JOHN TAOLO GAETSEWE;;Formally Opened;Operational;;Public;Ordinary School;Secondary;Govt;;k7;;WRENCHVILLE;WRENCHVILLE;8468;PO BOX 94;PO BOX;WRENCHVILLE;KURUMAN;8468;053;1100195;083;7361006;wrenchvillehighschool@gmail.com;wrenchvillehighschool@gmail.com;-27.45428;23.45476;;;;;;381090;381090;2045403;Wrenchville high;;;;;;;;;;;;;;
